Título,Director,Integrantes,Estado,Tipo de proyecto,Descripción,Institución,Fecha de inicio,Fecha de finalización,Enlace,Código
Estudios Brasileños,"Paganelli, Pía","Aguiar, Isabel - 
Lombardo, Verónica - Aldana Garbarini, Neucilene Teixeira,",vigente,cátedra libre,"La Cátedra Libre de Estudios Brasileños realiza talleres, cursos, ciclos de cine, conferencias y conversatorios con invitados de universidades de Brasil sobre temáticas de la cultura popular, la literatura, la música, la lengua portuguesa y los estudios antropológicos. Asimismo generamos espacios de encuentro y difusión del trabajo de creadores, docentes universitarios y profesionales que en nuestro país trabajan desde distintas disciplinas en la comunidad de esas producciones con otras semejantes de la cultura brasileña.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,1999,Actualidad,http://seube.filo.uba.ar/c%C3%A1tedra-libre-de-estudios-brasile%C3%B1os#Antecedentes,S/D
"Estudio Gallegos ""Alfonso Castellao""","Vázquez Villanueva, Graciana",,vigente,cátedra libre,"Creada en 1995 en el marco del convenio de cooperación cultural, académica y científica entre la Universidad de Buenos Aires y la Consellería de Educación e Ordenación Universitaria de la Xunta de Galicia.
Se dictan cursos de lengua, literatura y cultura gallegas. Historia de Galicia. Inmigración gallega en Buenos Aires. Políticas y planificación lingüísticas en la Unión Europea y en Galicia. Lenguas en contacto en Europa y España. Historia de la ideas lingüísticas.

",Facultad de Filosofía y Letras; Universidad de Buenos Aires,S/D,Actualidad,http://seube.filo.uba.ar/c%C3%A1tedra-libre-de-estudios-gallegos-alfonso-r-castelao,S/D
Programa de Extensión en Cárceles ,"Parchuc, Juan Pablo ","Adur, Lucas -  Bermúdez, Nicolás - Charaf, Sabrina - Rubin, María José - Acevedo, David  - Camarda, Ana - Sarsale, Clara - Delfino, Silvia ",vigente,programa de extensión ,"Es un ámbito de formación de equipos y desarrollo de proyectos de investigación-acción en contextos de encierro o vinculados a las problemáticas carcelarias. Se gestionan proyectos UBACYT y UBANEX, entre otros. En este momento, se encuentra en ejecución el UBACYT ""Escribir en la cárcel: intervenciones con la literatura y otras formas de arte y organización"" (Programación Científica 2018); y el UBANEX ""Prácticas y acciones socieducativas y culturales en contextos de encierro: derechos e inclusión de personas privadas de libertad y liberadas"" (proyecto consolidado).",Facultad de Filosofía y Letras; Universidad de Buenos Aires,S/D,Actualidad,http://seube.filo.uba.ar/programa-de-extensi%C3%B3n-en-c%C3%A1rceles#Antecedentes,S/D
Memorias Recientes,"Velarde, Malena - Constantino, Enzo ",,vigente,programa de extensión ,"Memorias Recientes es un proyecto de reescritura colectiva de testimonios orales sobre hechos históricos del pasado reciente en la Argentina. Los relatos editados conforman el Archivo palimpsesto, un soporte digital que visibiliza las superposiciones de las memorias.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,Actualidad,http://seube.filo.uba.ar/programa-memorias-recientes,S/D
Programa Queer,S/D,"Silvia Delfino, Flavio Rapisardi,
Fabricio Forastelli,
Juan Pablo Parchuc",vigente,programa de extensión ," El programa de Teoría Queer propone un espacio de articulación de proyectos de docencia e investigación con las prácticas de activismo y militancia en movimientos políticos contra la represión y la discriminación por géneros, orientación sexual e identidad de géneros.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,S/D,Actualidad,http://seube.filo.uba.ar/programas-de-extensi%C3%B3n-0,S/D
"Bi/multilingüísmo en contextos urbanos:
prácticas participativas en escuelas públicas
del sur de la ciudad de Buenos Aires","Golluscio, Lucía Ángela",S/D,vigente,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2018,S/D,S/D
Prácticas y acciones socioeducativas y culturales en contexto de encierro: derechos e inclusión de personas probadas de libertad y liberadas.,"Parchuc, Juan Pablo",S/D,vigente,ubanex,"El proyecto busca contribuir a la defensa de los derechos humanos y la inclusión social de personas privadas de libertad ambulatoria y liberadas, con estrategias y acciones que faciliten el acceso a la educación, promuevan la formación y contribuyan al desarrollo artístico, cultural y comunitario, produciendo conocimiento y vínculos que ayuden a dar visibilidad, consolidar y fortalecer redes y articulaciones entre equipos universitarios, instituciones y organizaciones sociales. Desde esta perspectiva, propone recuperar y poner en diálogo saberes y prácticas para abordar, de manera integral, problemas y necesidades relacionadas con la formación y acompañamiento de estas personas y grupos, así como vinculadas con la capacidad de difundir propuestas, materiales y experiencias realizadas en contextos de encierro y llevar adelante proyectos asociativos relacionados con la educación, la cultura y el trabajo. En particular, busca dar continuidad, sostener y ampliar los alcances de actividades de extensión universitaria de la Facultad de Filosofía y Letras en tres centros universitarios ubicados dentro de establecimientos penitenciarios federales y otros espacios organizados dentro y fuera de la cárcel.",Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2018,S/D,S/D
"Crear y re-crear textos en contextos. Representaciones inter-discursivas para el fortalecimiento de la oralidad y la lecto-comprensión en niños/as, adolescentes y adultos del Bajo Flores, en relación con la diversidadlingüístico-cultural y su recepción en los entornos áulicos e institucionales no formales.","Pégolo, Liliana",S/D,vigente,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2018,S/D,S/D
Prácticas y acciones socioeducativas y culturales en contexto de encierro: derechos e inclusión de personas probadas de libertad y liberadas.,"Parchuc, Juan Pablo",S/D,vigente,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2017,2018,S/D,
"Universidad y comunidad educativa: Prácticas participativas
en torno a la diversidad lingüística y cultural en el barrio
de Barracas (CABA).","Golluscio, Lucía Ángela",S/D,finalizado,ubanex,S/D,Facultad de Filosofía y Letras; Universidad de Buenos Aires,2016,2017,S/D,
